user_id,tm,to_date,platform,invitation_code,extra_userId,pkg,ver,ip_addr,model,android_id,nickname
2016674414736834560,2026-01-29 00:47:05,2026/1/29,iOS,42SMUS1,2016674414736834560,work.eheet.eheet,1.0.0,"74.101.213.155, 15.158.226.97",iPhone,3a21cb17-2f42-4736-b86c-1138f88bf7df,EheetiOS
2014546703830614016,2026-01-29 02:57:56,2026/1/29,iOS,L418GMB,2014546703830614016,work.eheet.eheet,1.0.0,"104.57.49.116, 18.68.48.5",iPhone,,EheetiOS
2015159388540633088,2026-01-29 04:21:41,2026/1/29,iOS,UGGFPMK,2015159388540633088,work.eheet.eheet,1.0.0,"64.121.165.29, 15.158.232.72",iPad,5984f99e-457a-4c81-964d-99188970df2a,EheetiOS
2016751355724693504,2026-01-29 05:52:52,2026/1/29,iOS,Q7X6LG4,2016751355724693504,work.eheet.eheet,1.0.0,"151.254.132.55, 15.158.253.110",iPhone,8e1ced0e-b719-4380-8732-b995efd7895b,EheetiOS
2016756592514564096,2026-01-29 06:13:42,2026/1/29,iOS,sHk5md1,2016756592514564096,work.eheet.eheet,1.0.0,"94.77.254.5, 15.158.197.79",iPhone,f5f35313-cdd3-43e6-83ff-06b112a63ea8,EheetiOS
2014490228441612288,2026-01-29 07:26:15,2026/1/29,iOS,VCS28UX,2014490228441612288,work.eheet.eheet,1.0.0,"5.156.238.1, 15.158.253.99",iPhone,598c8cc8-0aeb-4605-9f9e-20b3c2e9f836,EheetiOS
2016806533127602176,2026-01-29 09:32:06,2026/1/29,iOS,LH06BUZ,2016806533127602176,work.eheet.eheet,1.0.0,"86.97.228.78, 15.158.33.86",iPhone,db740dcc-4bf2-463a-828d-a03b0bf0ccd3,EheetiOS
2016810425605292032,2026-01-29 09:47:34,2026/1/29,iOS,VJ2ZB9T,2016810425605292032,work.eheet.eheet,1.0.0,"176.7.198.0, 18.68.42.233",iPhone,2c84e44a-8c9b-4ca9-ae23-d010b39a7ac9,EheetiOS
2016816383077253120,2026-01-29 10:11:14,2026/1/29,iOS,SCI1FLT,2016816383077253120,work.eheet.eheet,1.0.0,"146.75.200.20, 3.172.104.111",iPhone,5e3839ef-e97e-4bd1-b113-6a6175e52b1e,EheetiOS
2016842833851449344,2026-01-29 11:56:21,2026/1/29,iOS,R57DHEK,2016842833851449344,work.eheet.eheet,1.0.0,"81.110.204.167, 15.158.48.107",iPhone,9796f1f1-b5f6-49c5-b3ce-e7a13f51568b,EheetiOS
2016856762254229504,2026-01-29 12:51:40,2026/1/29,iOS,JWQRD8K,2016856762254229504,work.eheet.eheet,1.0.0,"216.164.31.94, 15.158.232.72",iPhone,4e90b645-095f-402b-b6e7-23b8dc268ebc,EheetiOS
2016539029062942720,2026-01-29 14:01:19,2026/1/29,iOS,CFDQZRW,2016539029062942720,work.eheet.eheet,1.0.0,"188.156.66.241, 18.68.26.14",iPhone,,EheetiOS
2016884354961244160,2026-01-29 14:41:21,2026/1/29,iOS,8YRK9KX,2016884354961244160,work.eheet.eheet,1.0.0,"2.89.144.160, 15.158.253.110",iPhone,c8379543-6d1a-4ed7-9d8c-5067622182c5,EheetiOS
2016631783285719040,2026-01-29 21:10:50,2026/1/29,iOS,KGLYSU7,2016631783285719040,work.eheet.eheet,1.0.0,"189.150.131.253, 18.68.19.212",iPhone,4a6ecf5b-d9f1-4f54-92ee-f83bb819240e,EheetiOS
2017026652382560256,2026-01-30 00:06:47,2026/1/30,iOS,UWXW2I4,2017026652382560256,work.eheet.eheet,1.0.0,"51.39.231.30, 15.158.197.79",iPhone,9f8764e1-4121-4171-9664-23d6dbe6474d,EheetiOS
2017028292418338816,2026-01-30 00:13:17,2026/1/30,iOS,25L55LG,2017028292418338816,work.eheet.eheet,1.0.0,"5.254.112.112, 3.172.96.98",iPhone,f6f88506-5747-4c5c-bc45-4cac5340140a,EheetiOS
